text,label
MARKUP FEES CAIRO,6
Cash Deposit,10
ATM WITHDRAWAL,10
Credit Interest,13
PAYMENT RECEIVED INTERNET,9
FOREIGN EXCHANGE FEES,6
Inward ACH,9
IPN Outward,9
Outward Online Transfer,9
INSURANCE FEE SOLIDARITY,6
CASH BACK REDEMPTION,9
Account Transfer,9
ATM DEPOSIT,10
CASH BACK CAIRO,9
Payment Direct Debit,9
Annual fee,6
Fees Account Transfer,6
Online Transfer,9
Reverse Annual fee,6
ATM CARDLESS DEPOSIT,10
Solidarity Scheme,6
Debit Interest,13
Inward CO/ Funds,9
OTT SIDE BY SIDEMEN,5
PROCAR,2
COCO,1
Netflix.com,5
ST WITH AIRO,16
PRIME PICK UP,0
BEANO,2
Elrefaay,2
FELIXMERCHANT,1
Sphinx Publishing,1
LYCHEE FRUIT BAR,2
OLA,6
ALEXOTEL,4
BUFFALO WINGS AND RI,2
VF FIT,7
Udemy,8
ZALANDOSE,1
FLAMINGO,0
GALAXYGYM,7
MAX MUSCLE,7
TBS,2
COSTA,2
BAVARIAN AUTO,6
EL MAJD,7
ORANGE,6
JIMMYS,2
EMARAT,6
DECATHLON,1
oscar,0
GHATATY,6
Uber BV,3
shiren,7
APEX CO.,16
DUNKIN DONUTS,2
MOBIL ONE,6
AZZAM WATCHES,1
STEAM GAMES,8
elmenus,2
KRISPY KREME,2
TRAFFIC MARKET,0
myfawry,8
CAKE CAFE,2
RED BULL SHOP,1
Talabat,2
ARAMEX,8
TSEPPAS,2
FAKAHANY,2
DR RANA MOHAMED PHARMA,7
MOBILATY,1
ADIDAS,1
BARBR RESTAURANT,2
INFINITY,6
EMIRATES,6
CARIBOU CAFE,2
EMARAT MISR,6
ZALANDO,1
EL RAYA SUPERMARKET,0
SWVL,3
GRINGO,2
TAZKARTI,5
dribrahim,7
Starbucks,2
COOK DOOR,2
OSCAR,0
CHILLOUT,6
Dominos Pizza,2
AIR FORCE HOSPITAL,7
Via Drive Thru,2
Spin,2
CHILL OUT,6
FAWRY MART PLUS,8
FAWRY*SHYL,16
ROYAL,
STEAMGAMES,5
BELGIUM FOR SWEETS,2
SPOTIFY,5
STAR FOR PLASTIC,1
TOTAL FUEL,6
FACEBK,8
Ibn Elsham,2
BONJOUR,0
JIMMY,2
RAYA SUPERMARKET,0
FAWRY*TOMMY,1
VODAFONE,6
ETISALAT,6
STARBUCKS,2
STREET NO,2
Noon,1
ON THE RUN,0
MCDONALD,2
Ola Energy,6
EasyKash,8
MINISO,1
ELMENUS,2
EL MAQARR,8
LANYUAN RESTAURANT,2
Coffee Berry,2
FNTS JYM,7
Hawawshi El Refa,2
KOKIO CHIKEN,2
GOAT,2
KANSAS FRIED CHICKEN,2
MQR Space,8
TBSW,2
HAG ARAFA,0
BLIZZARD,5
TRIPMODECH,11
APPLE.COM/BILL,11
INSTASHOP,0
CAREEM,3
ALSHY,1
GOVPAY,6
FRESH FOOD,0
HARDEES,2
MASTER ON THE GO,0
MOBIL,6
COFFEE LAB,2
TOTAL,6
NOON COMMERCE,1
NOON,1
WILLYS KITCHEN,2
EL EZABY,7
My fawry,8
Alfa,0
McDonalds,2
TELECOM EGYPT,6
MEKKA,16
LINCONTRO,2
NAME CHEAP,8
GEIDEAMEDICA,7
MOBILE,6
SECOND CUP,2
GRINGOS,2
Gelato Mio,2
AMAZON CO JP,1
ZYDAN,0
MOBIL OIL,6
CHICKIN WORX,2
DANDY FOR CLOTHES,1
THE CREPE,2
Myfawry,8
MAHMOUD ELFAR,0
Orange,6
MOBIL MARKET,0
NEW PENNY,0
GOOGLE,11
Carlos,2
starbucks,2
fb,8
GORMET EGYPTAIN STREET,2
YATTA RESTAURANT,2
Riot,5
Accept,8
SUPERMARKET MAHMOUD EL,0
CIRCLE,0
UPLIFT,7
FOOD AND COMPANY,2
gelato,2
QAHWA,2
DIGITALOCEAN,8
FLY BUY,0
TRS GIRA MARKET,0
SEOUDI,0
GoFndMe,8
BREADFAST,2
FLAMNGO,2
GoogleAdwordsEU,8
QUICK,0
ZIDAN MARKET,0
CARREFOUR,0
LAZADA,1
Gourmet,0
MCDONALDS,2
Spotify,8
Circle,0
ELDAHAN,2
ACCEPT,8
Oscar,0
Otlob.com,2
Breadfast,2
RABBITSCO,2
AMAN PASSPORTS,8
Seoudi,0
AMAZON MARKETPLACE,1
Uber,3
APPLE,11
MCDONALD,2
ALMOKHTABAR MEDICAL,7
