entry,transaction_category
MARKUP FEES CAIRO,Utilities
Cash Deposit,Cash
ATM WITHDRAWAL,Cash
Credit Interest,Investment
PAYMENT RECEIVED INTERNET,Transfers
FOREIGN EXCHANGE FEES,Utilities
Inward ACH,Transfers
IPN Outward,Transfers
Outward Online Transfer,Transfers
INSURANCE FEE SOLIDARITY,Utilities
CASH BACK REDEMPTION,Transfers
Account Transfer,Transfers
ATM DEPOSIT,Cash
CASH BACK CAIRO,Transfers
Payment Direct Debit,Transfers
Annual fee,Utilities
Fees Account Transfer,Utilities
Online Transfer,Transfers
Reverse Annual fee,Utilities
ATM CARDLESS DEPOSIT,Cash
Solidarity Scheme,Utilities
Debit Interest,Investment
Inward CO/ Funds,Transfers
OTT SIDE BY SIDEMEN,Entertainment
PROCAR,Restaurants
COCO,Shopping
Netflix.com,Entertainment
ST WITH AIRO,Others
PRIME PICK UP,Groceries
BEANO,Restaurants
Elrefaay,Restaurants
FELIXMERCHANT,Shopping
Sphinx Publishing,Shopping
LYCHEE FRUIT BAR,Restaurants
OLA,Utilities
ALEXOTEL,Travel
BUFFALO WINGS AND RI,Restaurants
VF FIT,Health
Udemy,Services
ZALANDOSE,Shopping
FLAMINGO,Groceries
GALAXYGYM,Health
MAX MUSCLE,Health
TBS,Restaurants
COSTA,Restaurants
BAVARIAN AUTO,Utilities
EL MAJD,Health
ORANGE,Utilities
JIMMYS,Restaurants
EMARAT,Utilities
DECATHLON,Shopping
oscar,Groceries
GHATATY,Utilities
Uber BV,Transportation
shiren,Health
APEX CO.,Others
DUNKIN DONUTS,Restaurants
MOBIL ONE,Utilities
AZZAM WATCHES,Shopping
STEAM GAMES,Services
elmenus,Restaurants
KRISPY KREME,Restaurants
TRAFFIC MARKET,Groceries
myfawry,Services
CAKE CAFE,Restaurants
RED BULL SHOP,Shopping
Talabat,Restaurants
ARAMEX,Services
TSEPPAS,Restaurants
FAKAHANY,Restaurants
DR RANA MOHAMED PHARMA,Health
MOBILATY,Shopping
ADIDAS,Shopping
BARBR RESTAURANT,Restaurants
INFINITY,Utilities
EMIRATES,Utilities
CARIBOU CAFE,Restaurants
EMARAT MISR,Utilities
ZALANDO,Shopping
EL RAYA SUPERMARKET,Groceries
SWVL,Transportation
GRINGO,Restaurants
TAZKARTI,Entertainment
dribrahim,Health
Starbucks,Restaurants
COOK DOOR,Restaurants
OSCAR,Groceries
CHILLOUT,Utilities
Dominos Pizza,Restaurants
AIR FORCE HOSPITAL,Health
Via Drive Thru,Restaurants
Spin,Restaurants
CHILL OUT,Utilities
FAWRY MART PLUS,Services
FAWRY*SHYL,Others
ROYAL,
STEAMGAMES,Entertainment
BELGIUM FOR SWEETS,Restaurants
SPOTIFY,Entertainment
STAR FOR PLASTIC,Shopping
