Date,Txn Date,Narrative,Value,Clean_Narrative
23-05,23-05,FOREIGN EXCHANGE FEES CAIRO,-2.25,FOREIGN EXCHANGE FEES CAIRO
29-05,29-05,FOREIGN EXCHANGE FEES CAIRO,-6.0,FOREIGN EXCHANGE FEES CAIRO
15-06,15-06,FOREIGN EXCHANGE FEES CAIRO,-0.57,FOREIGN EXCHANGE FEES CAIRO
16-06,16-06,FOREIGN EXCHANGE FEES CAIRO,-1.5,FOREIGN EXCHANGE FEES CAIRO
19-05,19-05,INSTASHOP CAIRO N. -07A,-106.5,INSTASHOP CAIRO .
19-05,19-05,elmenus CAIRO S. -07E,-109.08,elmenus CAIRO .
21-05,21-05,PAYMOB CAIRO D.T-07D,-360.0,PAYMOB CAIRO .
21-05,21-05,MAX MUSCLE - TAGAMOA CAIRO,-625.0,MAX MUSCLE TAGAMOA CAIRO
21-05,21-05,FLAMNGO HYPER CAIRO,-811.19,FLAMNGO HYPER CAIRO
22-05,22-05,APPLE.COM/BILL ITUNES.COM,-74.99,APPLE.COM/BILL ITUNES.COM
25-05,25-05,INSTASHOP CAIRO N. -07A,-201.5,INSTASHOP CAIRO .
27-05,27-05,Netflix.com Los Gatos,-200.0,Netflix.com Los Gatos
28-05,28-05,TBS CB O1 Mall New Cairo,-113.02,TBS CB Mall New Cairo
28-05,28-05,ON THE RUN -URBAN 5NEW CAIRO,-70.0,ON THE RUN URBAN CAIRO
29-05,29-05,PAYMOB CAIRO D.T-07D,-221.25,PAYMOB CAIRO .
29-05,29-05,INSTASHOP CAIRO N. -07A,-275.4,INSTASHOP CAIRO .
30-05,30-05,TBS CB O1 Mall New Cairo,-92.52,TBS CB Mall New Cairo
30-05,30-05,APEX CO. CAIRO,-80.0,APEX CO. CAIRO
30-05,30-05,Talabat Cairo,-135.96,Talabat Cairo
31-05,31-05,BAVARIAN AUTO - KATTAMEYA 1 CAIRO S. -07E,-3100.0,BAVARIAN AUTO KATTAMEYA CAIRO .
31-05,31-05,Uber BV Cairo,-56.52,Uber BV Cairo
31-05,31-05,Uber BV Cairo,-118.89,Uber BV Cairo
31-05,31-05,STARBUCKS DRIVE THRU CAIRO N. -07A,-40.0,STARBUCKS DRIVE THRU CAIRO .
1-06,1-06,Starbucks Diplomat CAIRO N. -07A,-40.0,Starbucks Diplomat CAIRO .
1-06,1-06,Paymob - BREADFAST CAIRO,-416.75,Paymob BREADFAST CAIRO
1-06,1-06,FAWRY*SHYL FWRM CAIRO D T,-1500.0,FAWRY*SHYL FWRM CAIRO
2-06,2-06,MOBIL NEW CAIRO CAIRO,-435.0,MOBIL NEW CAIRO CAIRO
3-06,3-06,Myfawry Maadi,-42.5,Myfawry Maadi
