Date,Txn Date,Narrative,Credit,Debit
25-04,25-04,CASH BACK CAIRO,145.00,
31-03,31-03,PAYMOB shiren CAIRO,,60.00
31-03,31-03,WILLYS KITCHEN CAIRO N. -07A,,119.49
1-04,1-04,STARBUCKS ALMAZA CAIRO E. -07C,,25.00
6-04,6-04,TOTAL FUEL 116164 CAIRO N. -07A,,437.19
8-04,8-04,NOON GIZA,,340.80
9-04,9-04,STARBUCKS YARD MALL CAIRO N. -07A,,25.00
11-04,11-04,Ibn Elsham Fifth distr New Cairo,,161.00
11-04,11-04,STARBUCKS DRIVE THRU CAIRO N. -07A,,25.00
11-04,11-04,MCDONALDS EMARAT MISR CAIRO N. -07A,,3.50
17-04,17-04,TOTAL FUEL 503020 CAIRO N. -07A,,402.29
22-04,22-04,THE CREPE CAIRO,,30.00
25-04,25-04,TOTAL FUEL 502894 CAIRO N. -07A,,408.00
25-04,25-04,MCDONALDS MAADI CAIRO N. -07A,,206.00
6-04,6-04,PAYMENT RECEIVED INTERNET,300.00,
8-04,8-04,PAYMENT RECEIVED INTERNET,250.00,
9-04,9-04,PAYMENT RECEIVED INTERNET,800.00,
21-04,21-04,Payment - Direct Debit,2029.00,
25-04,25-04,CASH BACK REDEMPTION TRX.,50.00,
1-04,1-04,Annual fee,,150.00
