date,txn date,clean_narrative,value
04/07/2021,04/07/2021,Online Transfer Transfer to Another CIB Client,1000.0
04/07/2021,04/07/2021,Online Transfer Transfer to Another CIB Client,600.0
04/07/2021,04/07/2021,ATM WITHDRAWAL CIB ELMAHALAWY SET LCAIRO EG,-300.0
05/07/2021,05/07/2021,POS PURCHASE STARBUCKS ARABELLA PLA CAIRO,-133.0
05/07/2021,05/07/2021,POS PURCHASE DIGITALOCEAN COM NEW YORK CITYUS,-91.87
06/07/2021,06/07/2021,Online Transfer Transfer to Another CIB Client,400.0
08/07/2021,08/07/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-400.0
11/07/2021,11/07/2021,ATM WITHDRAWAL BM Talat called Mokatt Mokattam EG,-1000.0
11/07/2021,11/07/2021,Online Transfer PS Plus,-200.0
11/07/2021,11/07/2021,Online Transfer Omar Salama (Fit Tribe),-800.0
11/07/2021,11/07/2021,POS PURCHASE OSCAR GRAND STORE ZAHR CAIRO EG,-981.49
13/07/2021,13/07/2021,Online Transfer Transfer to Another CIB Client,4700.0
13/07/2021,13/07/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-4500.0
13/07/2021,13/07/2021,POS PURCHASE GALAXYGYM CAIRO EG,-2000.0
14/07/2021,14/07/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-700.0
18/07/2021,18/07/2021,Online Transfer Oscar,-105.0
18/07/2021,18/07/2021,Online Transfer Transfer to Another CIB Client,-720.0
18/07/2021,18/07/2021,Online Transfer Transfer to Another CIB Client,50.0
18/07/2021,18/07/2021,POS PURCHASE INSTASHOP CAIRO,-4.28
18/07/2021,18/07/2021,POS PURCHASE REFUND INSTASHOP CAIRO,4.28
18/07/2021,18/07/2021,POS PURCHASE INSTASHOP CAIRO,-198.5
25/07/2021,25/07/2021,POS PURCHASE McDonalds Egypt MASTE Cairo EG,-193.99
25/07/2021,25/07/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
25/07/2021,25/07/2021,POS PURCHASE Talabat Cairo EG,-234.99
25/07/2021,25/07/2021,POS PURCHASE INSTASHOP CAIRO,-124.99
26/07/2021,26/07/2021,Online Transfer Transfer to Another CIB Client,-1.0
26/07/2021,26/07/2021,Online Transfer Transfer to Another CIB Client,1.0
26/07/2021,26/07/2021,POS PURCHASE INSTASHOP CAIRO,-382.7
27/07/2021,27/07/2021,Online Transfer Transfer to Another CIB Client,83.0
28/07/2021,28/07/2021,Online Transfer Transfer to Another CIB Client,-50.0
29/07/2021,29/07/2021,POS PURCHASE INSTASHOP CAIRO,-210.5
29/07/2021,29/07/2021,POS PURCHASE Talabat Cairo EG,-160.0
29/07/2021,29/07/2021,Credit Interest,17.77
01/08/2021,01/08/2021,Online Transfer Transfer to Another CIB Client,-650.0
01/08/2021,01/08/2021,Online Transfer Transfer to Another CIB Client,0.01
02/08/2021,02/08/2021,Online Transfer Transfer to Another CIB Client,1000.0
02/08/2021,02/08/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-1000.0
04/08/2021,04/08/2021,POS PURCHASE GORMET EGYPTAIN STREET CAIRO EG,-88.5
05/08/2021,05/08/2021,POS PURCHASE DIGITALOCEAN COM NEW YORK CITYUS,-81.11
09/08/2021,09/08/2021,POS PURCHASE EasyKash Giza EG,-1239.9
09/08/2021,09/08/2021,POS PURCHASE EasyKash Giza EG,-314.25
11/08/2021,11/08/2021,Online Transfer Transfer to Another CIB Client,670.0
15/08/2021,15/08/2021,Online Transfer Transfer to Another CIB Client,200.0
15/08/2021,15/08/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-1500.0
16/08/2021,16/08/2021,Online Transfer Food,-107.3
16/08/2021,16/08/2021,Online Transfer Transfer to Another CIB Client,54.0
16/08/2021,16/08/2021,POS PURCHASE NOON COMMERCE OCT,-155.0
17/08/2021,17/08/2021,Online Transfer Transfer to Another CIB Client,2500.0
17/08/2021,17/08/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-1000.0
19/08/2021,19/08/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-72.0
22/08/2021,22/08/2021,Online Transfer Transfer to Another CIB Client,340.0
22/08/2021,22/08/2021,POS PURCHASE PAYMOB CAIRO EG,-180.0
22/08/2021,22/08/2021,POS PURCHASE NOON COMMERCE OCT,-20.0
22/08/2021,22/08/2021,POS PURCHASE Gelato Mio Maadi CAIRO,-50.0
22/08/2021,22/08/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
24/08/2021,24/08/2021,POS PURCHASE ALSHY ALD CAIRO EG,-140.0
24/08/2021,24/08/2021,POS PURCHASE COSTA GLEEM ALEX,-77.01
29/08/2021,29/08/2021,Online Transfer Transfer to Another CIB Client,200.0
30/08/2021,30/08/2021,Online Transfer Transfer to Another CIB Client,1500.0
31/08/2021,31/08/2021,Credit Interest,3.14
01/09/2021,01/09/2021,POS PURCHASE STARBUCKS GLEEM BAY ALEX,-115.0
01/09/2021,01/09/2021,POS PURCHASE ALEXOTEL ALEX,-860.0
02/09/2021,02/09/2021,POS PURCHASE Udemy US,-275.62
05/09/2021,05/09/2021,Online Transfer Transfer to Another CIB Client,800.0
07/09/2021,07/09/2021,Online Transfer Transfer to Another CIB Client,25.0
08/09/2021,08/09/2021,POS PURCHASE PRIME PICK UP CAIRO,-17.0
09/09/2021,09/09/2021,POS PURCHASE GRINGO MATROUH,-135.0
09/09/2021,09/09/2021,POS PURCHASE ZIDAN MARKET REHAB CAIRO,-44.0
09/09/2021,09/09/2021,POS PURCHASE AIR FORCE HOSPITAL CHE CAIRO,-48.0
12/09/2021,12/09/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-1000.0
14/09/2021,14/09/2021,POS PURCHASE ALMOKHTABAR MEDICAL LA CAIRO,-419.2
14/09/2021,14/09/2021,Online Transfer Transfer to Another CIB Client,-800.0
15/09/2021,15/09/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-650.0
19/09/2021,19/09/2021,Online Transfer Transfer to Another CIB Client,47.0
20/09/2021,20/09/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
20/09/2021,20/09/2021,Online Transfer Transfer to Another CIB Client,10600.0
21/09/2021,21/09/2021,Online Transfer Transfer to Another CIB Client,97.5
21/09/2021,21/09/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-3000.0
21/09/2021,21/09/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-400.0
21/09/2021,21/09/2021,POS PURCHASE PRIME PICK UP CAIRO,-13.0
22/09/2021,22/09/2021,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-1500.0
26/09/2021,26/09/2021,POS PURCHASE FAWRY MART PLUS CAIRO EG,-23.0
26/09/2021,26/09/2021,POS PURCHASE WILLYS KITCHEN OCT,-100.0
26/09/2021,26/09/2021,Online Transfer Transfer to Another CIB Client,-28.0
28/09/2021,28/09/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
30/09/2021,30/09/2021,Account Transfer ATM Rep Fee,-25.0
30/09/2021,30/09/2021,Credit Interest,0.64
