date,txn date,clean_narrative,value
25-03,25-03,CASH BACK CAIRO,69.0
10-03,10-03,MCDONALDS MAADI CAIRO .,-161.0
11-03,11-03,ADIDAS One Kattameya FO CAIRO .,-999.0
11-03,11-03,ELDAHAN CAIRO,-566.47
12-03,12-03,ADIDAS One Kattameya FO CAIRO .,999.0
13-03,13-03,COFFEE LAB Emirates El rehab CAIRO .,-34.0
13-03,13-03,TOTAL FUEL CAIRO .,-445.93
15-03,15-03,CIRCLE MABCO DIS CAIRO,-17.0
15-03,15-03,MCDONALDS MAADI CAIRO .,-73.0
19-03,19-03,MCDONALDS CHILL OUT CF CAIRO .,-5.99
19-03,19-03,MCDONALDS CHILL OUT CF CAIRO .,-28.0
19-03,19-03,TOTAL FUEL CAIRO .,-453.0
21-03,21-03,STARBUCKS WATER CAIRO .,-25.0
21-03,21-03,MCDONALDS CONCORD CAIRO .,-256.46
22-03,22-03,PROCAR CAIRO .,-100.0
23-03,23-03,MCDONALDS CHILL OUT MA CAIRO .,-100.0
24-03,24-03,EMARAT MISR ELMEARAG CAIRO,-478.99
