date,txn date,clean_narrative,value
24-07,24-07,FOREIGN EXCHANGE FEES CAIRO,-2.25
27-07,27-07,FOREIGN EXCHANGE FEES CAIRO,-6.0
15-08,15-08,FOREIGN EXCHANGE FEES CAIRO,-0.57
16-08,16-08,FOREIGN EXCHANGE FEES CAIRO,-1.5
25-05,25-05,VODAFONE EGYPT CAIRO,505.0
8-07,8-07,VODAFONE EGYPT CAIRO,-505.0
19-07,19-07,MOBIL ONE CENTER CAIRO,-66.0
20-07,20-07,FLY BUY MENIA MENYA,-55.0
20-07,20-07,STARBUCKS DRIVE THRU CAIRO .,-35.0
21-07,21-07,INSTASHOP CAIRO .,-176.0
21-07,21-07,NEW PENNY CAIRO .,-162.0
22-07,22-07,APPLE.COM/BILL ITUNES.COM,-74.99
23-07,23-07,INSTASHOP CAIRO .,-847.04
23-07,23-07,TBS CB Mall New Cairo,-288.0
24-07,24-07,FAWRY*TOMMY CAIRO,-440.0
25-07,25-07,INSTASHOP CAIRO .,-147.55
26-07,26-07,INSTASHOP CAIRO .,-224.5
26-07,26-07,Talabat Cairo,-136.46
27-07,27-07,Netflix.com Los Gatos,-200.0
27-07,27-07,VODAFONE EGYPT CAIRO,-105.0
28-07,28-07,SEOUDI WATER WAY MALL CAIRO .,-140.45
28-07,28-07,Circle Midor CAIRO .,-80.0
28-07,28-07,TRAFFIC MARKET CAIRO,-79.0
30-07,30-07,VODAFONE EGYPT CAIRO,-415.0
31-07,31-07,INSTASHOP CAIRO .,-357.0
31-07,31-07,Ola Energy Diplo CAIRO .,-295.0
31-07,31-07,Starbucks Diplomat CAIRO .,-55.0
31-07,31-07,Talabat Cairo,-205.96
1-08,1-08,DR RANA MOHAMED PHARMA CAIRO .,-13.5
1-08,1-08,VODAFONE EGYPT CAIRO,-205.0
1-08,1-08,VODAFONE EGYPT CAIRO,-1905.0
1-08,1-08,TRS GIRA MARKET CAIRO,-343.97
2-08,2-08,Talabat Cairo,-207.1
4-08,4-08,EMARAT MISRC CAIRO,-46.0
4-08,4-08,STARBUCKS DRIVE THRU CAIRO .,-45.0
4-08,4-08,TRAFFIC MARKET CAIRO,-72.0
5-08,5-08,Ola Energy Diplo CAIRO .,-455.0
5-08,5-08,Starbucks Diplomat CAIRO .,-50.0
5-08,5-08,APEX CO. CAIRO,-45.0
5-08,5-08,ON THE RUN URBAN CAIRO,-1100.0
6-08,6-08,INSTASHOP CAIRO .,-780.22
6-08,6-08,Paymob BREADFAST CAIRO,-142.5
8-08,8-08,VODAFONE EGYPT CAIRO,-505.0
8-08,8-08,APEX CO. CAIRO,-45.0
9-08,9-08,TBS CB Mall New Cairo,-190.0
9-08,9-08,ON THE RUN URBAN CAIRO,-111.0
10-08,10-08,Ola Energy Diplo CAIRO .,-360.0
10-08,10-08,TRAFFIC MARKET CAIRO,-25.0
10-08,10-08,STARBUCKS DRIVE THRU CAIRO .,-50.0
11-08,11-08,DECATHLON EGYPT CFC CAIRO .,-599.0
11-08,11-08,Talabat Cairo,-77.49
11-08,11-08,TBS CB Mall New Cairo,-65.0
12-08,12-08,INSTASHOP CAIRO .,-293.0
12-08,12-08,Talabat Cairo,-65.49
12-08,12-08,VODAFONE EGYPT CAIRO,-405.0
13-08,13-08,Myfawry Maadi,-225.01
13-08,13-08,KRISPY KREME CAIRO .,-80.0
14-08,14-08,APPLE.COM/BILL ITUNES.COM,-18.99
14-08,14-08,Starbucks Diplomat CAIRO .,-130.0
15-08,15-08,INSTASHOP CAIRO .,-408.76
15-08,15-08,APPLE.COM/BILL ITUNES.COM,-49.99
16-08,16-08,INSTASHOP CAIRO .,-143.0
16-08,16-08,Noon Egypt Cairo,-375.0
17-08,17-08,myfawry Maadi,-102.5
26-07,26-07,PAYMENT RECEIVED INTERNET,469.92
30-07,30-07,PAYMENT RECEIVED INTERNET,1000.0
30-07,30-07,PAYMENT RECEIVED INTERNET,400.0
31-07,31-07,PAYMENT RECEIVED INTERNET,12500.0
1-08,1-08,INSURANCE FEE SOLIDARITY,-10.0
