Date,Txn Date,Narrative,Value,Clean_Narrative
03/07/2022,03/07/2022,Online Transfer FT2218448S77\BNK - Diet subscription,-1500.0,Online Transfer Diet subscription
05/07/2022,05/07/2022,Online Transfer FT22186BQPSY\BNK - Transfer to Another CIB Client,1000.0,Online Transfer Transfer to Another CIB Client
05/07/2022,05/07/2022,ATM WITHDRAWAL FT22186917LY\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000006564,-1000.0,ATM WITHDRAWAL CIB MOBILE EL NARGS CAIRO EG
06/07/2022,06/07/2022,POS PURCHASE FT22187NLGGK\BNK PADDLE NET TRIPMODECH London GB 5318050000006564,-389.55,POS PURCHASE PADDLE NET TRIPMODECH London GB
07/07/2022,07/07/2022,POS PURCHASE FT22188C286L\BNK PAYMOB RABBITSCO CAIRO EG CIBS2I05 5318050000006564,-12.0,POS PURCHASE PAYMOB RABBITSCO CAIRO EG
07/07/2022,07/07/2022,POS PURCHASE FT221888DNR4\BNK PAYMOB RABBITSCO CAIRO EG CIBS2I04 5318050000006564,-7.0,POS PURCHASE PAYMOB RABBITSCO CAIRO EG
07/07/2022,07/07/2022,POS PURCHASE FT22188PGF8Y\BNK PAYMOB RABBITSCO CAIRO EG CIBS2I05 5318050000006564,-10.0,POS PURCHASE PAYMOB RABBITSCO CAIRO EG
07/07/2022,07/07/2022,POS PURCHASE FT22188T22GP\BNK PAYMOB RABBITSCO CAIRO EG CIBS2I05 5318050000006564,-8.0,POS PURCHASE PAYMOB RABBITSCO CAIRO EG
17/07/2022,17/07/2022,Online Transfer FT221981BNHK\BNK - Personal transfer,20000.0,Online Transfer Personal transfer
17/07/2022,17/07/2022,ATM WITHDRAWAL FT221980NGKM CIB MOKATTAM BR III CAIRO EG 09720811 5318050000006564,-4000.0,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG
17/07/2022,17/07/2022,ATM WITHDRAWAL FT22198ZRV3P CIB MOKATAM BR BNA CAIRO EG 09720451 5318050000006564,-12000.0,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG
17/07/2022,17/07/2022,ATM WITHDRAWAL FT22198FY25B CIB MOKATAM BR BNA CAIRO EG 09720451 5318050000006564,-4000.0,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG
20/07/2022,20/07/2022,ATM DEPOSIT FT22201NZ5HW CIB MOKATAM BR BNA CAIRO EG 09720451 5318050000006564 100045365907,200.0,ATM DEPOSIT CIB MOKATAM BR BNA CAIRO EG
20/07/2022,20/07/2022,POS PURCHASE FT22201HTD5F\BNK MCDONALDS CHILLOUT TUR CAIRO N 07AEG 00302914 5318050000006564,-60.0,POS PURCHASE MCDONALDS CHILLOUT TUR CAIRO
20/07/2022,20/07/2022,Online Transfer FT22201LJ6P9\BNK - Transfer to Another CIB Client,600.0,Online Transfer Transfer to Another CIB Client
20/07/2022,20/07/2022,ATM WITHDRAWAL FT222019ZN5R CIB MOKATTAM BR II CAIRO EG 09720452 5318050000006564,-600.0,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG
24/07/2022,24/07/2022,Online Transfer FT22205RNX9W\BNK - Transfer to Another CIB Client,1000.0,Online Transfer Transfer to Another CIB Client
24/07/2022,24/07/2022,POS PURCHASE FT2220547VZM\BNK 50704HARDEES MAADI CAIRO S 07EEG 24202205 5318050000006564,-75.0,POS PURCHASE MAADI CAIRO
25/07/2022,25/07/2022,Online Transfer FT22206N88DV\BNK - Transfer to Another CIB Client,1000.0,Online Transfer Transfer to Another CIB Client
25/07/2022,25/07/2022,ATM WITHDRAWAL FT222066PZ85\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000006564,-1600.0,ATM WITHDRAWAL CIB MOBILE EL NARGS CAIRO EG
25/07/2022,25/07/2022,POS PURCHASE FT222061GPGX\BNK SPOTIFY STOCKHOLM SE 80289981 5318050000006564,-82.39,POS PURCHASE SPOTIFY STOCKHOLM SE
26/07/2022,26/07/2022,Online Transfer FT22207X25GT\BNK - Transfer to Another CIB Client,600.0,Online Transfer Transfer to Another CIB Client
26/07/2022,26/07/2022,Inward ACH FT22207Q5QZ0\BNK ACH(ACH/07713262974) RTIN(SALARY FO R SYNDO EMPLOYEES) FROM(EG920056000,2000.0,Inward ACH ACH(ACH/) RTIN(SALARY FO SYNDO EMPLOYEES) FROM(
26/07/2022,26/07/2022,Online Transfer FT22207JP2H3\BNK - Transfer to Another CIB Client,2000.0,Online Transfer Transfer to Another CIB Client
26/07/2022,26/07/2022,ATM WITHDRAWAL FT22207HPWQV\BNK ALXB okatam EG BOAW839 5318050000006564,-1755.0,ATM WITHDRAWAL ALXB okatam EG
27/07/2022,27/07/2022,Online Transfer FT222080XXQG\BNK - Transfer to Another CIB Client,600.0,Online Transfer Transfer to Another CIB Client
27/07/2022,27/07/2022,Online Transfer FT22208MM1XT\BNK - Transfer to Another CIB Client,-600.0,Online Transfer Transfer to Another CIB Client
27/07/2022,27/07/2022,POS PURCHASE FT222084Y3LG\BNK MOBIL CAIRO EG 5318050000006564,-384.0,POS PURCHASE MOBIL CAIRO EG
27/07/2022,27/07/2022,POS PURCHASE FT22208NY4KY\BNK CARREFOUR ELASMART CAIRO S 07EEG 45074701 5318050000006564,-507.96,POS PURCHASE CARREFOUR ELASMART CAIRO
28/07/2022,28/07/2022,Fees Account Transfer FT22209SYG1N\C01 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100045365907,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
28/07/2022,28/07/2022,POS PURCHASE FT22209DDNM2\BNK EL RAYA SUPERMARKET CAIRO D T 07HEG 24087705 5318050000006564,-217.45,POS PURCHASE EL RAYA SUPERMARKET CAIRO
31/07/2022,31/07/2022,ATM WITHDRAWAL FT222120HF5C CIB MOKATTAM BR II CAIRO EG 09720452 5318050000006564,-100.0,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG
31/07/2022,31/07/2022,POS PURCHASE FT222122B1WB\BNK DANDY FOR CLOTHES CAIRO EG 5318050000006564,-225.0,POS PURCHASE DANDY FOR CLOTHES CAIRO EG
31/07/2022,31/07/2022,ATM WITHDRAWAL FT22212D4B86\BNK BM KNOWLEDGE INTER UNI RTANTA EG BM017808 5318050000006564,-55.0,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG
